"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"hipMemcpy",72,227451666,3159050.916667,60.09,31382,206662308,24326097.288635
"hipEventSynchronize",180,93566018,519811.211111,24.72,86581,2334720,499796.852286
"hipGetDevicePropertiesR0600",1,37517251,37517251.000000,9.91,37517251,37517251,0.00000000e+00
"hipDeviceSynchronize",18,10150453,563914.055556,2.68,95242,2330025,528664.533275
"hipFree",90,4934991,54833.233333,1.30,1357,161202,55210.691630
"hipMalloc",90,2469551,27439.455556,0.6524,1415,151729,37269.690001
"hipLaunchKernel",198,1652936,8348.161616,0.4367,4617,362616,25586.291317
"hipEventRecord",360,677095,1880.819444,0.1789,883,12745,852.340908
"hipEventElapsedTime",180,72802,404.455556,0.0192,255,2970,399.599245
"hipEventDestroy",36,25345,704.027778,6.695e-03,298,2106,465.632932
"hipEventCreate",36,25332,703.666667,6.692e-03,164,1741,447.283547
