N,Triton,Torch
256.000000,197.502564,200.479146
384.000000,226.056326,244.895080
512.000000,248.216317,259.572987
640.000000,267.432777,271.200832
768.000000,280.158512,277.723168
896.000000,290.910643,281.677080
1024.000000,295.030388,292.653765
1152.000000,333.451377,134.850371
1280.000000,370.832207,149.033466
1408.000000,400.882154,162.001580
1536.000000,436.299738,174.268830
1664.000000,475.899760,181.325176
1792.000000,502.721767,193.796165
1920.000000,555.563405,204.595691
2048.000000,577.389194,212.447694
2176.000000,591.645564,218.784714
2304.000000,658.080968,229.087812
2432.000000,684.870314,237.385494
